episode,a_cnt,state,action,reward,DAsum,SNr,cart_pos,cart_v,pole_angle,pole_v
2,3,345,0,1,1.2615239305000001,-0.0,0.01995202317128201,0.7992496093259771,0.008971485219407422,-1.1493424366336975
2,4,525,0,1,0.7090801030679583,0.058116429,0.035937015357801555,0.4088909104695652,-0.014015363513266528,-0.5611903711795316
2,5,741,0,1,1.186098259,-0.0,0.04411483356719286,0.018849282091701336,-0.02523917093685716,0.019694228323755558
2,6,735,1,1,0.8464716996668802,0.0413551686,0.04449181920902689,-0.3710146488959095,-0.02484528637038205,0.5968843441236376
2,7,741,0,1,1.1649236863608756,0.0118609826,0.037071526231108695,0.019559152235747557,-0.012907599487909299,0.0039006928721555534
2,8,735,1,1,1.0443772804064146,0.0498198856,0.037462709275823645,-0.37049490232430843,-0.012829585630466187,0.5851383074665757
2,9,525,0,1,0.9450787810768403,0.06520723,0.03005281122933748,0.019923987673466925,-0.0011268194811346732,-0.004213626188077968
2,10,735,1,1,0.8268336074464265,0.0602636584,0.030451290982806817,-0.37030371830371706,-0.0012110920048962325,0.580796276309821
2,11,561,1,1,0.9857296010148054,0.0285245248,0.023045216616732478,0.01995711249965232,0.010404833521300188,-0.004950601548180056
2,12,561,0,1,1.1057959875,-0.0,0.023444358866725523,0.41004871541689253,0.010305821490336587,-0.5869973666977368
2,13,741,0,1,1.1909326131588587,0.0235102195,0.03164533317506338,0.019663520999469553,-0.0014341258436181507,0.0015791859916992612
2,14,735,1,1,0.7058861846541042,0.0685319945,0.03203860359505277,-0.3705597552826874,-0.0014025421237841655,0.5864918656274284
2,15,777,1,1,1.118356458836616,0.0108774955,0.02462740848939902,0.019703734794289884,0.010327295188764404,0.0006848590352931394
2,16,561,1,1,0.8570252020241219,0.0383818208,0.02502148318528482,0.4097964951136637,0.010340992369470267,-0.5813869074757801
2,17,309,0,1,1.2815291279372394,0.010898661,0.033217413087558094,0.799892460980421,-0.0012867457800453362,-1.1634593724705669
2,18,525,0,1,0.9626152528035924,0.0746580179,0.04921526230716651,0.4096653603099675,-0.024555933229456674,-0.5784975091983203
2,19,525,0,1,0.9186010194974575,0.0842841704,0.057408569513365856,0.019782666457101528,-0.036125883413423085,-0.0010685010555846475
2,20,735,1,1,1.0427260274332413,0.0755908564,0.057804222842507885,-0.36990639200942144,-0.03614725343453478,0.5724649970742787
2,21,525,0,1,0.9195805661348714,0.0934701806,0.050406095002319455,0.02080657040940348,-0.024697953493049207,-0.02384658041122789
2,22,735,1,1,1.0319612454913174,0.0860181166,0.05082222641050752,-0.3690658871870999,-0.025174885101273765,0.5535232915032837
2,23,525,0,1,0.9200259737437424,0.1026659862,0.043440908666765525,0.021513274256104442,-0.01410441927120809,-0.03956044047177054
2,24,735,1,1,1.0217512903044146,0.0963377291,0.04387117415188761,-0.3685227214674312,-0.014895628080643502,0.5412887985445078
2,25,525,0,1,0.9199887474429006,0.111866246,0.03650071972253899,0.021924178283299345,-0.004069852109753344,-0.048695730802338466
2,26,735,1,1,0.6778229845932119,0.106555242,0.03693920328820498,-0.3682608936874133,-0.0050437667258001135,0.5353804967630849
2,27,561,1,1,0.9765019185285113,0.0469520728,0.02957398541445671,0.022053205544238952,0.005663843209461584,-0.05156606615944015
2,28,561,1,1,0.8229266914250696,0.056717092,0.030015049525341488,0.4122149808148301,0.004632521886272781,-0.6351341810549116
2,29,309,0,1,1.4264299899325132,0.0237139523,0.03825934914163809,0.8023936575351547,-0.008070161734825452,-1.2190339595817992
2,30,525,0,1,0.9393203634138597,0.1210661334,0.05430722229234118,0.41225564715040247,-0.03245084092646144,-0.636218602235485
2,31,525,0,1,0.8573326610016365,0.1304593371,0.06255233523534923,0.022494019711228608,-0.045175212971171136,-0.06142283785782976
